======================================================================
因子冗余剔除报告（日频 IC 相关性）
阈值: 相关 > 0.7 即剔除 | 因子总数: 270
|IC| ≥ 0.01 过滤: 剔除 32 个低信号因子
ICIR > 0.05 过滤: 剔除 0 个不稳定因子
======================================================================

各环节漏斗统计:
----------------------------------------------------------------------
  环节                                过滤数      剩余数
  DOWN_STD_5               IC=-0.0255  与 MAX5 相关 0.840 (该因子 IC=-0.0168)
  POS_MA10                 IC=-0.0264  与 KDJ_J 相关 0.963 (该因子 IC=-0.0236)
  IMAX10                   IC=-0.0265  与 CNTD10 相关 0.783 (该因子 IC=-0.0181)
  MONEY_FLOW10             IC=-0.0269  与 CNTD10 相关 0.962 (该因子 IC=-0.0181)
  RESI30                   IC=-0.0269  与 RESI20 相关 0.811 (该因子 IC=-0.0219)
  IMAX5                    IC=-0.0270  与 KDJ_J 相关 0.797 (该因子 IC=-0.0236)
  RSV10                    IC=-0.0273  与 KDJ_J 相关 0.905 (该因子 IC=-0.0236)
  BETA60                   IC=-0.0273  与 CNTD60 相关 0.798 (该因子 IC=-0.0143)
  TRIX_24                  IC=-0.0276  与 CNTD60 相关 0.817 (该因子 IC=-0.0143)
  POS_MA5                  IC=-0.0286  与 KDJ_J 相关 0.922 (该因子 IC=-0.0236)
  CLOSE_POS5               IC=-0.0286  与 KDJ_J 相关 0.922 (该因子 IC=-0.0236)
  IMXD10                   IC=-0.0287  与 CNTD10 相关 0.851 (该因子 IC=-0.0181)
  KSFT                     IC=-0.0290  与 KSFT2 相关 0.869 (该因子 IC=-0.0252)
  IMXD5                    IC=-0.0294  与 KDJ_J 相关 0.819 (该因子 IC=-0.0236)
  VSUMP5                   IC=-0.0296  与 VSUMD5 相关 0.956 (该因子 IC=-0.0269)
  RSV5                     IC=-0.0297  与 KDJ_J 相关 0.852 (该因子 IC=-0.0236)
  VOL_POS10                IC=-0.0299  与 VSUMD5 相关 0.818 (该因子 IC=-0.0269)
  POS_MA20                 IC=-0.0317  与 KDJ_J 相关 0.867 (该因子 IC=-0.0236)
  CLOSE_POS20              IC=-0.0317  与 KDJ_J 相关 0.867 (该因子 IC=-0.0236)
  VSUMD10                  IC=-0.0318  与 VSUMD5 相关 0.713 (该因子 IC=-0.0269)
  KMID                     IC=-0.0319  与 KSFT2 相关 0.827 (该因子 IC=-0.0252)
  SUMD5                    IC=-0.0320  与 KDJ_J 相关 0.832 (该因子 IC=-0.0236)
  STD30                    IC=-0.0324  与 MAX5 相关 0.716 (该因子 IC=-0.0168)
  RSV20                    IC=-0.0330  与 CNTD10 相关 0.819 (该因子 IC=-0.0181)
  MONEY_FLOW20             IC=-0.0339  与 CNTD10 相关 0.787 (该因子 IC=-0.0181)
  SUMD10                   IC=-0.0341  与 CNTD10 相关 0.909 (该因子 IC=-0.0181)
  MACD_LINE                IC=-0.0342  与 MOM_SKIP_1W 相关 0.786 (该因子 IC=-0.0333)
  VWAP_DEV5                IC=-0.0345  与 KDJ_J 相关 0.881 (该因子 IC=-0.0236)
  IMAX30                   IC=-0.0351  与 MOM_SKIP_1W 相关 0.782 (该因子 IC=-0.0333)
  IMAX20                   IC=-0.0351  与 MOM_SKIP_1W 相关 0.711 (该因子 IC=-0.0333)
  IMXD30                   IC=-0.0353  与 MOM_SKIP_1W 相关 0.867 (该因子 IC=-0.0333)
  SUMP5                    IC=-0.0355  与 KDJ_J 相关 0.863 (该因子 IC=-0.0236)
  CCI_20                   IC=-0.0361  与 CNTD10 相关 0.812 (该因子 IC=-0.0181)
  RSV30                    IC=-0.0362  与 CNTD10 相关 0.781 (该因子 IC=-0.0181)
  IMXD20                   IC=-0.0363  与 MOM_SKIP_1W 相关 0.792 (该因子 IC=-0.0333)
  VOL_POS20                IC=-0.0365  与 VSUMP10 相关 0.887 (该因子 IC=-0.0338)
  DOWN_STD_10              IC=-0.0367  与 MAX5 相关 0.797 (该因子 IC=-0.0168)
  VWAP_DEV10               IC=-0.0369  与 KDJ_J 相关 0.923 (该因子 IC=-0.0236)
  SUMP10                   IC=-0.0371  与 CNTD10 相关 0.885 (该因子 IC=-0.0181)
  SUMD60                   IC=-0.0375  与 CNTD60 相关 0.859 (该因子 IC=-0.0143)
  RSV60                    IC=-0.0377  与 IMAX60 相关 0.773 (该因子 IC=-0.0238)
  DOWN_STD_20              IC=-0.0382  与 MAX5 相关 0.758 (该因子 IC=-0.0168)
  RANK5                    IC=-0.0382  与 KDJ_J 相关 0.759 (该因子 IC=-0.0236)
  RISK_ADJ_MOM60           IC=-0.0384  与 CNTD60 相关 0.868 (该因子 IC=-0.0143)
  BIAS5                    IC=-0.0385  与 KDJ_J 相关 0.806 (该因子 IC=-0.0236)
  BETA10                   IC=-0.0392  与 CNTD10 相关 0.810 (该因子 IC=-0.0181)
  BETA5                    IC=-0.0393  与 KDJ_J 相关 0.823 (该因子 IC=-0.0236)
  STD20                    IC=-0.0393  与 MAX5 相关 0.710 (该因子 IC=-0.0168)
  MOM60                    IC=-0.0394  与 CNTD60 相关 0.824 (该因子 IC=-0.0143)
  VOL_TREND                IC=-0.0395  与 VSUMP10 相关 0.853 (该因子 IC=-0.0338)
  RANK10                   IC=-0.0397  与 KDJ_J 相关 0.876 (该因子 IC=-0.0236)
  SUMP60                   IC=-0.0400  与 IMAX60 相关 0.914 (该因子 IC=-0.0238)
  RSI_14                   IC=-0.0408  与 CNTD10 相关 0.815 (该因子 IC=-0.0181)
  AMOUNT_TREND20           IC=-0.0420  与 VSUMP10 相关 0.849 (该因子 IC=-0.0338)
  RANK20                   IC=-0.0422  与 CNTD10 相关 0.821 (该因子 IC=-0.0181)
  BB_BANDWIDTH             IC=-0.0427  与 MAX_DD60 相关 0.824 (该因子 IC=-0.0415)
  BB_POSITION              IC=-0.0429  与 KDJ_J 相关 0.832 (该因子 IC=-0.0236)
  CORR30                   IC=-0.0433  与 CORR60 相关 0.719 (该因子 IC=-0.0281)
  DOWN_STD_60              IC=-0.0435  与 MAX_DD60 相关 0.896 (该因子 IC=-0.0415)
  RESI60                   IC=-0.0435  与 MACD_HIST 相关 0.721 (该因子 IC=-0.0290)
  TRIX_12                  IC=-0.0438  与 MOM_SKIP_1W 相关 0.955 (该因子 IC=-0.0333)
  SUMD30                   IC=-0.0438  与 MOM_SKIP_1W 相关 0.856 (该因子 IC=-0.0333)
  VSUMD20                  IC=-0.0440  与 VSUMP10 相关 0.733 (该因子 IC=-0.0338)
  RANK60                   IC=-0.0445  与 MOM_SKIP_1W 相关 0.756 (该因子 IC=-0.0333)
  BETA30                   IC=-0.0445  与 MOM_SKIP_1W 相关 0.962 (该因子 IC=-0.0333)
  RANK30                   IC=-0.0446  与 CNTD10 相关 0.794 (该因子 IC=-0.0181)
  VSUMP20                  IC=-0.0446  与 VSUMP10 相关 0.815 (该因子 IC=-0.0338)
  VSUMP30                  IC=-0.0446  与 VSUMD30 相关 0.896 (该因子 IC=-0.0441)
  SUMD20                   IC=-0.0447  与 MOM_SKIP_1W 相关 0.809 (该因子 IC=-0.0333)
  MA_ALIGN_5_20            IC=-0.0450  与 CNTD10 相关 0.779 (该因子 IC=-0.0181)
  BIAS10                   IC=-0.0452  与 KDJ_J 相关 0.858 (该因子 IC=-0.0236)
  CORR5                    IC=-0.0454  与 CORD5 相关 0.771 (该因子 IC=-0.0414)
  BETA20                   IC=-0.0454  与 MOM_SKIP_1W 相关 0.831 (该因子 IC=-0.0333)
  RISK_ADJ_MOM20           IC=-0.0456  与 MOM_SKIP_1W 相关 0.816 (该因子 IC=-0.0333)
  VSUMD60                  IC=-0.0460  与 VSUMD30 相关 0.742 (该因子 IC=-0.0441)
  SUMP30                   IC=-0.0460  与 MOM_SKIP_1W 相关 0.816 (该因子 IC=-0.0333)
  VSUMP60                  IC=-0.0464  与 IMAX60 相关 0.723 (该因子 IC=-0.0238)
  SUMP20                   IC=-0.0468  与 MOM_SKIP_1W 相关 0.768 (该因子 IC=-0.0333)
  RSI_21                   IC=-0.0469  与 MOM_SKIP_1W 相关 0.784 (该因子 IC=-0.0333)
  CORD10                   IC=-0.0486  与 CORD5 相关 0.791 (该因子 IC=-0.0414)
  STD10                    IC=-0.0489  与 STD5 相关 0.842 (该因子 IC=-0.0486)
  MAX_DD20                 IC=-0.0496  与 MAX_DD60 相关 0.849 (该因子 IC=-0.0415)
  EMA_CROSS_10_30          IC=-0.0497  与 MOM_SKIP_1W 相关 0.907 (该因子 IC=-0.0333)
  BIAS60                   IC=-0.0519  与 MOM_SKIP_1W 相关 0.844 (该因子 IC=-0.0333)
  CORD30                   IC=-0.0520  与 CORD60 相关 0.812 (该因子 IC=-0.0435)
  BIAS20                   IC=-0.0532  与 CNTD10 相关 0.808 (该因子 IC=-0.0181)
  EMA_CROSS_5_20           IC=-0.0532  与 MOM_SKIP_1W 相关 0.814 (该因子 IC=-0.0333)
  CORR10                   IC=-0.0535  与 CORR20 相关 0.775 (该因子 IC=-0.0484)
  MOM20                    IC=-0.0536  与 MOM_SKIP_1W 相关 0.846 (该因子 IC=-0.0333)
  CORD20                   IC=-0.0551  与 CORD60 相关 0.702 (该因子 IC=-0.0435)
  KLEN                     IC=-0.0656  与 STD5 相关 0.803 (该因子 IC=-0.0486)

======================================================================
报告已生成: C:\QUANT-ASHARE\reports\factor_redundancy_report.txt
